Dataset,Question-Type,Answer-type,Question,gold_10_1,gold_10_2,gold_10_3,gold_50_1,gold_50_2,gold_50_3,gold_100_1,gold_100_2,gold_100_3,gold_250_1,gold_250_2,gold_250_3,gold_500_1,gold_500_2,gold_500_3,gold_750_1,gold_750_2,gold_750_3,gold_1000_1,gold_1000_2,gold_1000_3,base_yes,base_no,base_0%,base_50%,base_100%,base_0,base_100,base_500,base_1000
te-sentiment_analysis,Existence,yes/no,Are there any entries that express neutral sentiment?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Existence,yes/no,Does the dataset contain negative sentiment entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Existence,yes/no,Do all the entries in this dataset express positive or negative sentiment?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Are there more positive instances than negative ones in this dataset?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Is the proportion of instances with negative sentiment below 30%?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Do the number of positive instances exceed two-thirds of the total dataset?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Count,number,What is the number of positive instances?,4,4,4,20,20,20,39,39,39,98,98,98,196,196,196,340,340,340,391,391,391,,,,,,0,100,500,1000
te-sentiment_analysis,Count,number,Count the number of instances with neutral sentiment.,4,4,4,22,22,22,45,45,45,113,113,113,226,226,226,293,293,293,453,453,453,,,,,,0,100,500,1000
te-sentiment_analysis,Calculation,percentage,What is the percentage of non-neutral entries?,60%,60%,60%,56%,56%,56%,55%,55%,55%,55.80%,55.80%,55.80%,55.80%,55.80%,55.80%,55.67%,55.67%,55.67%,55.70%,55.70%,55.70%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Calculation,percentage,What is the proportion of instances that are neutral?,40%,40%,40%,44%,44%,44%,45%,45%,45%,45.20%,45.20%,45.20%,45.20%,45.20%,45.20%,45.33%,45.33%,45.33%,45.30%,45.30%,45.30%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Comparison,yes/no,"Does any of the categories (positive, negative, or neutral) account for more than 50% of the total instances?",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Do neutral entries make up the smallest number of dataset entries?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Are neutral instances less frequent than both positive and negative instances in this datasets?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,"Is the number of instances in the most frequent sentiment category (positive, negative, or neutral) more than twice that of the smallest?",no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Calculation,percentage,"What is the percentage of the most frequent category (positive, negative, neutral) out of the total data?",40%,40%,40%,44%,44%,44%,45%,45%,45%,45.20%,45.20%,45.20%,45.20%,45.20%,45.20%,45.33%,45.33%,45.33%,45.30%,45.30%,45.30%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Calculation,percentage,By what percentage does positive sentiment entries exceed negative sentiment entries?,20%,20%,20%,24%,24%,24%,23%,23%,23%,23.60%,23.60%,23.60%,23.60%,23.60%,23.60%,23.47%,23.47%,23.47%,23.50%,23.50%,23.50%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Calculation,percentage,What is the percentage of non-negative entries?,80%,80%,80%,88%,88%,88%,84%,84%,84%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Count,number,Return the number of entries expressing negative sentiment.,2,2,2,8,8,8,16,16,16,39,39,39,78,78,78,117,117,117,156,156,156,,,,,,0,100,500,1000
te-sentiment_analysis,Count,number,What is the count of non-negative instances?,8,8,8,42,42,42,84,84,84,211,211,211,422,422,422,633,633,633,844,844,844,,,,,,0,100,500,1000
te-sentiment_analysis,Calculation,number,What is the total number of positive entries and negative entries?,6,6,6,28,28,28,55,55,55,137,137,137,274,274,274,410,410,410,547,547,547,,,,,,0,100,500,1000
te-sentiment_analysis,Existence,yes/no,Do all entries in the dataset express positive sentiment?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Existence,yes/no,Does the dataset only contain entries expressing positive sentiment?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Existence,yes/no,Does the dataset contain any entries that are not positive?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Existence,yes/no,Are there any entries in the dataset that express either positive or negative sentiment?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Count,number,How many entries that are not negative?,8,8,8,42,42,42,84,84,84,211,211,211,422,422,422,633,633,633,844,844,844,,,,,,0,100,500,1000
te-sentiment_analysis,Count,number,What is the count of entries neither expressing positive nor neutral sentiment?,2,2,2,8,8,8,16,16,16,39,39,39,78,78,78,117,117,117,156,156,156,,,,,,0,100,500,1000
te-sentiment_analysis,Count,number,"How many entries belong to the most frequent sentiment category (among positive, negative and neutral)?",4,4,4,22,22,22,45,45,45,113,113,113,226,226,226,293,293,293,453,453,453,,,,,,0,100,500,1000
te-sentiment_analysis,Count,number,"What is the data size of the least frequent sentiment category (among positive, negative and neutral)?",2,2,2,8,8,8,16,16,16,39,39,39,78,78,78,117,117,117,156,156,156,,,,,,0,100,500,1000
te-sentiment_analysis,Calculation,percentage,Return the percentage of entries that express negative sentiment.,20%,20%,20%,24%,24%,24%,23%,23%,23%,23.60%,23.60%,23.60%,23.60%,23.60%,23.60%,23.47%,23.47%,23.47%,23.50%,23.50%,23.50%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Calculation,percentage,What is the percentage of entries which do not express negative sentiment?,80%,80%,80%,88%,88%,88%,84%,84%,84%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,84.40%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Calculation,percentage,What is the absolute percentage difference between the neutral and non-neutral sentiment entries?,20.00%,20.00%,20.00%,12.00%,12.00%,12.00%,10.00%,10.00%,10.00%,10.60%,10.60%,10.60%,10.60%,10.60%,10.60%,10.34%,10.34%,10.34%,10.40%,10.40%,10.40%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Calculation,percentage,Return the sum of percentages of the positive and negative sentiment entries in the total dataset.,60.00%,60.00%,60.00%,56.00%,56.00%,56.00%,55.00%,55.00%,55.00%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.67%,54.67%,54.67%,54.70%,54.70%,54.70%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Calculation,percentage,"Return the percentage of the least frequent sentiment category (positive, negative, neutral) out of the total data.",20.00%,20.00%,20.00%,24.00%,24.00%,24.00%,23.00%,23.00%,23.00%,23.60%,23.60%,23.60%,23.60%,23.60%,23.60%,23.47%,23.47%,23.47%,23.50%,23.50%,23.50%,,,0.00%,50.00%,100.00%,,,,
te-sentiment_analysis,Calculation,number,What is the absolute difference in the number of entries between positive and negative sentiment?,2,2,2,12,12,12,23,23,23,59,59,59,118,118,118,223,223,223,235,235,235,,,,,,0,100,500,1000
te-sentiment_analysis,Comparison,yes/no,Does the number of entries expressing the negative sentiment exceed those expressing the neutral sentiment?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Are there fewer negative instances compared to positive ones?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Is the count of negative sentiment entries smaller than positive sentiment entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Do negative sentiment entries make up the largest number of dataset instances?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,"Is positive sentiment the least frequent category (positive, negative, or neutral) in the dataset?",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Do negative entries appear less often than both positive and neutral instances?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Are instances expressing the positive sentiment less frequent than either neutral or negative instance?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Does the percentage of neutral sentiment entries exceed the percentage of negative sentiment entries?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Does the sum of positive and negative sentiment entries appear less than the neutral sentiment entries?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Are positive or negative sentiment instances less frequent than the neutral sentiment?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Do entries expressing the negative sentiment represent more than 40% of the dataset?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Is the proportion of neutral sentiment entries above 10%?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Does the percentage of the neutral sentiment fall within the range of 10% to 30%?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Is the number of entries that do not express positive sentiment smaller than those that express positive sentiment?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Do non-negative instances outnumber negative ones?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
te-sentiment_analysis,Comparison,yes/no,Is the ratio of positive to negative entries greater than 3:1?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Existence,yes/no,Are there any instances that include both 'celebrity and pop culture' and 'music'?,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Do entries with exactly one topic account for more than 30% of the dataset?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Existence,yes/no,Does the dataset contain any instances with either the 'gaming' or 'fitness and dining' topic?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Does the sum of 'family' topic and 'relationship' topic entries exceed the 'relationship' entries by 20% or more?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Is the ratio of multi-topic entries to single-topic entries more than 3:1?,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Calculation,percentage,Return the percentage of entries discussing the 'gaming' topic.,10.00%,0.00%,10.00%,0.00%,4.00%,0.00%,4.00%,2.00%,5.00%,4.40%,4.00%,4.80%,6.80%,6.80%,6.80%,6.00%,6.00%,6.00%,5.40%,5.40%,5.40%,,,0.00%,50.00%,100.00%,,,,
ste-tweettopic,Count,number,Return the number of entries discussing the 'sports' topic.,3,2,0,22,13,12,24,19,27,58,67,59,80,80,80,145,145,145,215,215,215,,,,,,0,100,500,1000
ste-tweettopic,Count,number,Return the number of instances which do not mention the 'news and social concern' topic content.,4,7,6,41,37,30,67,60,59,178,175,174,336,336,336,508,508,508,674,674,674,,,,,,0,100,500,1000
ste-tweettopic,Count,number,"How many entries discuss only 'film, tv and video'?",0,1,0,1,1,0,7,2,0,10,17,7,5,5,5,16,16,16,27,27,27,,,,,,0,100,500,1000
ste-tweettopic,Existence,yes/no,Are there any entries with more than two topics?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Are there more 'news and social concern' topic instances than 'music' topic instances?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Are entries with the 'business' topic the most frequent in the dataset?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,Do entries with the 'gaming' topic account for more than 20% of the total?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Comparison,yes/no,"Are there more 'family' topic entries than the sum of 'film, tv and video' and 'music' entries combined?",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,
ste-tweettopic,Count,number,How many entries discuss either the 'celebrity and pop culture' or 'news and social concern' topic?,6,5,7,13,20,27,46,55,57,112,107,110,231,231,231,345,345,345,458,458,458,,,,,,0,100,500,1000
ste-tweettopic,Count,number,Return the count of entries that have three or more topics.,3,1,2,4,4,6,16,22,18,44,46,42,275,275,275,302,302,302,326,326,326,,,,,,0,100,500,1000
ste-tweettopic,Calculation,percentage,What is the percentage of entries that discuss the 'daily life' topic?,20.00%,20.00%,10.00%,24.00%,16.00%,12.00%,9.00%,13.00%,12.00%,16.40%,16.40%,16.40%,31.20%,31.20%,31.20%,25.33%,25.33%,25.33%,22.30%,22.30%,22.30%,,,0.00%,50.00%,100.00%,,,,
