Dataset,Question-Type,Answer-type,Question,gold_10_1,gold_10_1_data_source_path,gold_10_2,gold_10_2_data_source_path,gold_10_3,gold_10_3_data_source_path,gold_50_1,gold_50_1_data_source_path,gold_50_2,gold_50_2_data_source_path,gold_50_3,gold_50_3_data_source_path,gold_100_1,gold_100_1_data_source_path,gold_100_2,gold_100_2_data_source_path,gold_100_3,gold_100_3_data_source_path,gold_250_1,gold_250_1_data_source_path,gold_250_2,gold_250_2_data_source_path,gold_250_3,gold_250_3_data_source_path,gold_500_1,gold_500_1_data_source_path,gold_500_2,gold_500_2_data_source_path,gold_500_3,gold_500_3_data_source_path,gold_750_1,gold_750_1_data_source_path,gold_750_2,gold_750_2_data_source_path,gold_750_3,gold_750_3_data_source_path,gold_1000_1,gold_1000_1_data_source_path,gold_1000_2,gold_1000_2_data_source_path,gold_1000_3,gold_1000_3_data_source_path
te-sentiment_analysis,Existence,yes/no,Are there any entries that express neutral sentiment?,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
te-sentiment_analysis,Existence,yes/no,Does the dataset contain negative sentiment entries?,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis100te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
te-sentiment_analysis,Existence,yes/no,Do all the entries in this dataset express positive or negative sentiment?,no,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis100te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
te-sentiment_analysis,Comparison,yes/no,Are there more positive instances than negative ones in this dataset?,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis100te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
te-sentiment_analysis,Comparison,yes/no,Is the proportion of instances with negative sentiment below 30%?,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis100te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,yes,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
te-sentiment_analysis,Comparison,yes/no,Do the number of positive instances exceed two-thirds of the total dataset?,no,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis100te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,no,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,no,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,no,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
te-sentiment_analysis,Count,number,What is the number of positive instances?,4,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,4,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,4,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,20,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,20,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,20,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,39,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,39,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,39,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,98,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,98,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,98,./data_source/te-sentiment_analysis100te-sentiment_analysis_3.txt,196,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,196,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,196,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,340,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,340,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,340,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,391,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,391,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,391,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
te-sentiment_analysis,Count,number,Count the number of instances with neutral sentiment.,4,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,4,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,4,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,22,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,22,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,22,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,45,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,45,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,45,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,113,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,113,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,113,./data_source/te-sentiment_analysis100te-sentiment_analysis_3.txt,226,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,226,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,226,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,293,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,293,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,293,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,453,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,453,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,453,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
te-sentiment_analysis,Calculation,percentage,What is the percentage of non-neutral entries?,60%,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,60%,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,60%,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,56%,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,56%,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,56%,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,55%,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,55%,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,55%,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,55.80%,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,55.80%,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,55.80%,./data_source/te-sentiment_analysis100te-sentiment_analysis_3.txt,55.80%,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,55.80%,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,55.80%,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,55.67%,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,55.67%,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,55.67%,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,55.70%,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,55.70%,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,55.70%,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
te-sentiment_analysis,Calculation,percentage,What is the proportion of instances that are neutral?,40%,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_1.txt,40%,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_2.txt,40%,./data_source/te-sentiment_analysis/10/te-sentiment_analysis_3.txt,44%,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_1.txt,44%,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_2.txt,44%,./data_source/te-sentiment_analysis/50/te-sentiment_analysis_3.txt,45%,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_1.txt,45%,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_2.txt,45%,./data_source/te-sentiment_analysis/100/te-sentiment_analysis_3.txt,45.20%,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_1.txt,45.20%,./data_source/te-sentiment_analysis/250/te-sentiment_analysis_2.txt,45.20%,./data_source/te-sentiment_analysis100te-sentiment_analysis_3.txt,45.20%,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_1.txt,45.20%,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_2.txt,45.20%,./data_source/te-sentiment_analysis/500/te-sentiment_analysis_3.txt,45.33%,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_1.txt,45.33%,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_2.txt,45.33%,./data_source/te-sentiment_analysis/750/te-sentiment_analysis_3.txt,45.30%,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_1.txt,45.30%,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_2.txt,45.30%,./data_source/te-sentiment_analysis/1000/te-sentiment_analysis_3.txt
